glyph,region,category,bbox,info
tGii,2,above,(212,683,419,884),
tGu,0,base,(70,-15,576,525),largest
tGu,1,base,(558,-15,936,525),
tGu,2,above,(310,503,626,734),
tGu,3,above,(172,499,335,659),
tGuu,0,base,(70,-15,576,525),largest
tGuu,1,base,(558,-15,933,484),
tGuu,2,base,(649,287,1266,520),
tGuu,3,above,(310,503,626,734),
tGuu,4,above,(172,499,335,659),
tGe,0,base,(70,-15,577,521),largest
tGe,1,above,(18,482,583,693),
tGee,0,base,(70,-15,577,521),largest
tGee,1,above,(18,482,583,693),
tGee,2,above,(373,649,579,881),
tGai,0,base,(70,-15,577,521),largest
tGai,1,below,(-24,-323,611,-88),
tGai,2,above,(18,482,583,693),
tGo,0,base,(70,-15,577,525),largest
tGo,1,above,(357,490,723,729),
tGo,2,above,(86,460,395,729),
tGoo,0,base,(70,-15,577,525),largest
tGoo,1,above,(359,490,723,729),
tGoo,2,above,(86,460,395,729),
tGoo,3,above,(514,696,720,904),
tGau,0,base,(70,-15,577,525),largest
tGau,1,above,(131,458,921,693),
tGau,2,above,(138,482,584,661),
tG,0,base,(70,-15,577,525),largest
tG,1,above,(99,599,633,818),
tG,2,above,(115,481,486,662),
tGha,0,base,(647,-15,1060,525),largest
tGha,1,base,(300,-15,695,525),
tGha,2,base,(60,-15,347,283),
tGha,3,above,(287,497,595,734),
tGha,4,above,(141,497,306,659),
tGha,5,below,(305,-153,395,19),
tGhaa,0,base,(300,-15,695,525),largest
tGhaa,1,base,(637,-15,1057,491),
tGhaa,2,base,(773,287,1390,520),
tGhaa,3,base,(60,-15,347,283),
tGhaa,4,above,(287,497,595,734),
tGhaa,5,above,(141,497,306,659),
tGhaa,6,below,(305,-153,395,19),
tGhi,0,base,(647,-15,1060,525),largest
tGhi,1,base,(310,-15,695,525),
tGhi,2,above,(24,487,399,794),
tGhi,3,base,(60,-15,347,283),
tGhi,4,below,(305,-153,395,19),
tGhii,0,base,(647,-15,1060,525),largest
tGhii,1,base,(310,-15,695,525),
tGhii,2,above,(24,487,399,792),
tGhii,3,base,(60,-15,347,283),
tGhii,4,above,(119,750,326,966),
tGhii,5,below,(305,-153,395,19),
tGhu,0,base,(647,-15,1060,525),largest
tGhu,1,base,(1034,-15,1428,525),
tGhu,2,base,(310,-15,695,525),
tGhu,3,base,(60,-15,347,283),
tGhu,4,above,(287,497,595,734),
tGhu,5,above,(141,497,306,659),
tGhu,6,below,(305,-153,395,19),
tGhuu,0,base,(647,-15,1060,525),largest
tGhuu,1,base,(310,-15,695,525),
tGhuu,2,base,(1034,-15,1425,492),
tGhuu,3,base,(1141,287,1758,520),
tGhuu,4,base,(60,-15,347,283),
tGhuu,5,above,(287,497,595,734),
tGhuu,6,above,(141,497,306,659),
tGhuu,7,below,(305,-153,395,19),
tGhe,0,base,(790,-15,1203,525),largest
tGhe,1,base,(453,-15,838,525),
tGhe,2,above,(18,482,513,693),
tGhe,3,base,(203,-15,490,283),
tGhe,4,below,(448,-153,538,19),
tGhee,0,base,(790,-15,1203,525),largest
tGhee,1,base,(453,-15,838,525),
tGhee,2,above,(18,482,513,693),
tGhee,3,base,(203,-15,490,283),
tGhee,4,above,(303,653,509,881),
tGhee,5,below,(448,-153,538,19),
tGhai,0,base,(790,-15,1203,525),largest
tGhai,1,base,(443,-15,838,525),
tGhai,2,below,(163,-323,818,-88),
tGhai,3,above,(18,482,513,693),
tGhai,4,base,(203,-15,490,283),
tGhai,5,below,(448,-153,538,19),
tGho,0,base,(790,-15,1203,525),largest
tGho,1,base,(1177,-15,1571,525),
tGho,2,base,(453,-15,838,525),
tGho,3,above,(18,482,513,693),
tGho,4,base,(203,-15,490,283),
tGho,5,below,(448,-153,538,19),
tGhoo,0,base,(453,-15,838,525),largest
tGhoo,1,base,(790,-15,1200,491),
